Output,level_1,S1,ST,S1_conf,ST_conf,
productivity,alpha,0.102564579,0.152067372,13.95807047,1.277307854,TRUE
productivity,K,2.004640307,3.739371612,277.1392805,494.1446061,TRUE
productivity,chi_ms,-0.102118312,0.008943902,13.57558784,1.18900048,TRUE
productivity,chi_markup,0.159495453,0.118597992,4.007827398,1.106250329,FALSE
productivity,w_final,-0.735103297,0.37478971,76.93458615,38.4970054,TRUE
productivity,chi_w,-0.366539038,0.349152589,6.611809629,3.155761264,TRUE
productivity,iota,-0.764753724,0.834272288,38.97054018,9.666876209,TRUE
productivity,iota_long_ratio,-0.004689204,7.92E-05,0.044866803,0.000758045,TRUE
sustainability,alpha,-0.153363717,0.085912441,1.965009732,1.203397713,TRUE
sustainability,K,0.417962579,0.184122,2.591961574,2.398287194,FALSE
sustainability,chi_ms,-0.05487387,0.00076841,0.053402921,0.000747812,TRUE
sustainability,chi_markup,0.520780997,0.07691779,0.818912085,0.04707097,FALSE
sustainability,w_final,1.872312532,0.988818293,2.486979238,4.209143431,FALSE
sustainability,chi_w,1.250390626,0.40708054,1.387631343,0.387575148,FALSE
sustainability,iota,-1.808190093,0.808072688,1.267029486,0.712807014,TRUE
sustainability,iota_long_ratio,0.15566261,0.006183443,0.151489918,0.006017689,FALSE
HHI,alpha,-0.038019403,0.002301978,48.02214688,0.146918933,TRUE
HHI,K,0.006031237,0.0004306,213.2544926,2.933117466,FALSE
HHI,chi_ms,0.139495267,0.0335022,23.90342607,0.016021608,FALSE
HHI,chi_markup,0.822236634,1.186784295,81.83059601,0.812983955,TRUE
HHI,w_final,0.841945261,1.309031399,679.5457448,28.55769369,TRUE
HHI,chi_w,0.435685214,0.330053515,14.62919556,0.313774332,FALSE
HHI,iota,-0.092286471,0.015019241,15.10010191,0.006493167,TRUE
HHI,iota_long_ratio,0.028098721,0.001376207,0.027825686,0.001362834,FALSE
