alpha,K,chi_ms,chi_markup,w_final,chi_w,iota,iota_long_ratio,productivity,sustainability,HHI
0.59375,6,0.990625,1.346875,0.2784375,0.4846875,1.296875,0.921875,0.5474,0.5317,0.0523
0.96875,6,0.990625,1.346875,0.2784375,0.4846875,1.296875,0.921875,0.5393,0.4799,0.0539
0.59375,3,0.990625,1.346875,0.2784375,0.4846875,1.296875,0.921875,0.7207,0.605,0.0594
0.59375,6,0.27812499999999996,1.346875,0.2784375,0.4846875,1.296875,0.921875,0.5389,0.5317,0.0515
0.59375,6,0.990625,0.871875,0.2784375,0.4846875,1.296875,0.921875,0.5456,0.5239,0.055
0.59375,6,0.990625,1.346875,0.6496875,0.4846875,1.296875,0.921875,0.4988,0.6353,0.0749
0.59375,6,0.990625,1.346875,0.2784375,0.3315625,1.296875,0.921875,0.5427,0.5274,0.0518
0.59375,6,0.990625,1.346875,0.2784375,0.4846875,1.015625,0.921875,0.5218,0.5191,0.0518
0.59375,6,0.990625,1.346875,0.2784375,0.4846875,1.296875,0.515625,0.5474,0.5317,0.0523
0.96875,3,0.27812499999999996,0.871875,0.6496875,0.3315625,1.015625,0.515625,0.5579,0.591,0.0574
1.09375,11,1.940625,0.396875,0.7734375,0.2396875,0.546875,0.671875,0.4484,0.5879,0.8542
1.46875,11,1.940625,0.396875,0.7734375,0.2396875,0.546875,0.671875,0.4143,0.589,0.8874
1.09375,8,1.940625,0.396875,0.7734375,0.2396875,0.546875,0.671875,0.4616,0.5684,0.8417
1.09375,11,1.2281250000000001,0.396875,0.7734375,0.2396875,0.546875,0.671875,0.4484,0.5928,0.7274
1.09375,11,1.940625,1.821875,0.7734375,0.2396875,0.546875,0.671875,0.4175,0.5395,0.0995
1.09375,11,1.940625,0.396875,0.1546875,0.2396875,0.546875,0.671875,0.4742,0.4459,0.0619
1.09375,11,1.940625,0.396875,0.7734375,0.0865625,0.546875,0.671875,0.5013,0.4752,0.4562
1.09375,11,1.940625,0.396875,0.7734375,0.2396875,1.765625,0.671875,0.5264,0.7463,0.9391
1.09375,11,1.940625,0.396875,0.7734375,0.2396875,0.546875,0.765625,0.4492,0.574,0.8285
1.46875,8,1.2281250000000001,1.821875,0.1546875,0.0865625,1.765625,0.765625,0.4857,0.3735,0.0531
