Output,level_1,S1,ST,S1_conf,ST_conf
productivity,alpha,0.14013132642079681,0.09634044626386998,0.4409919897963689,0.12007155721456382
productivity,K,0.5084283501383569,0.28412085848464785,0.3579847944156064,0.7228256189722533
productivity,chi_ms,-0.08544565609809099,0.010829403058862737,0.08390841846931525,0.023177308095827538
productivity,chi_markup,-0.7484274050432674,0.8055606995434536,0.8749332143300681,1.1494948307535857
productivity,w_init,-0.039810857067496846,0.04515636799858856,0.3048337769447413,0.07656769037392468
productivity,chi_w,0.3589909152857475,0.12560849716210856,0.41010617065964017,0.17288215720663527
productivity,iota,0.2952010780771474,0.162495528992144,0.6412707402260811,0.24166380842282606
productivity,iota_long_ratio,-0.002110163273290122,4.917248123061779e-06,0.003073582077955538,7.1622731260687885e-06
sustainability,alpha,0.4847683839770487,0.614812276711457,0.8901055430851412,0.585812504936279
sustainability,K,0.8580916769775081,0.9672353500649736,1.1474242515782636,0.8162830622168267
sustainability,chi_ms,-0.07629602033050069,0.2760047627069664,0.2155223604913269,0.5930774110763531
sustainability,chi_markup,-0.00916743384017341,0.014929130468759492,0.06661355617838714,0.03414565078499885
sustainability,w_init,-0.04700649264107194,0.12963008088420602,0.33059667315834845,0.19512000791337233
sustainability,chi_w,-0.06433200190426118,0.5894490587261243,0.3981275825804418,1.0307923990741812
sustainability,iota,0.007369463576743045,0.11983817587326194,0.0795720241206706,0.2693209050137352
sustainability,iota_long_ratio,-0.0008092789800617013,0.0013798420084419206,0.001891650005230947,0.0031720288705062256
HHI,alpha,0.1270593180351618,0.31187590395238285,3.8435910033531897,0.40190926144405675
HHI,K,-0.011163373377719402,0.002153779295379737,8.33495313212557,1.659931475734903
HHI,chi_ms,0.01610971360418975,0.007042770096385124,4.063238102207371,0.30777619191061867
HHI,chi_markup,0.21755910267862394,2.1039806033488007,6.2385767074187815,94.09095081640821
HHI,w_init,0.0022024292217471416,0.00027182561377847407,2.3710021204466156,0.13340667001138626
HHI,chi_w,0.0013982452082862012,0.0005095035379767576,0.34235059087546227,0.047125102261367596
HHI,iota,0.004110932929458584,0.0012463511773605713,1.9364516647810712,0.09129757440922906
HHI,iota_long_ratio,0.0,0.0,0.0,0.0
